,Date,NumBikeHires
0,01/01/2018,4290
1,01/02/2018,5377
2,01/03/2018,5132
3,01/04/2018,17388
4,01/05/2018,26820
5,01/06/2018,31928
6,01/07/2018,3231
7,01/08/2018,20712
8,01/09/2018,26010
9,01/10/2018,27909
10,01/11/2018,22964
11,01/12/2017,9539
12,02/01/2018,6446
13,02/02/2018,5954
14,02/03/2018,8433
15,02/04/2018,21585
16,02/05/2018,7448
17,02/06/2018,30693
18,02/07/2018,5240
19,02/08/2018,20693
20,02/09/2018,26881
21,02/10/2018,0
22,02/11/2018,24077
23,02/12/2017,8523
24,03/01/2018,6512
25,03/02/2018,3290
26,03/03/2018,12191
27,03/04/2018,21015
28,03/05/2018,21027
29,03/06/2018,29761
30,03/07/2018,29293
31,03/08/2018,20794
32,03/09/2018,10802
33,03/10/2018,30349
34,03/11/2018,0
35,03/12/2017,7222
36,04/01/2018,6453
37,04/02/2018,2487
38,04/03/2018,4688
39,04/04/2018,19995
40,04/05/2018,26670
41,04/06/2018,33257
42,04/07/2018,31781
43,04/08/2018,18363
44,04/09/2018,29529
45,04/10/2018,0
46,04/11/2018,20471
47,04/12/2017,8729
48,05/01/2018,6967
49,05/02/2018,3932
50,05/03/2018,8597
51,05/04/2018,2596
52,05/05/2018,25353
53,05/06/2018,33424
54,05/07/2018,28182
55,05/08/2018,17415
56,05/09/2018,31114
57,05/10/2018,4522
58,05/11/2018,23472
59,05/12/2017,8307
60,06/01/2018,5180
61,06/02/2018,3988
62,06/03/2018,12003
63,06/04/2018,11520
64,06/05/2018,14556
65,06/06/2018,30498
66,06/07/2018,33676
67,06/08/2018,19171
68,06/09/2018,27838
69,06/10/2018,16037
70,06/11/2018,0
71,06/12/2017,6669
72,07/01/2018,4714
73,07/02/2018,4697
74,07/03/2018,11170
75,07/04/2018,11159
76,07/05/2018,28140
77,07/06/2018,32002
78,07/07/2018,31076
79,07/08/2018,23806
80,07/09/2018,30381
81,07/10/2018,27614
82,07/11/2018,16525
83,07/12/2017,8549
84,08/01/2018,5711
85,08/02/2018,5613
86,08/03/2018,7711
87,08/04/2018,6666
88,08/05/2018,26429
89,08/06/2018,35103
90,08/07/2018,30080
91,08/08/2018,23880
92,08/09/2018,29813
93,08/10/2018,29362
94,08/11/2018,1721
95,08/12/2017,8032
96,09/01/2018,5500
97,09/02/2018,6268
98,09/03/2018,11642
99,09/04/2018,19082
100,09/05/2018,28895
101,09/06/2018,25911
102,09/07/2018,6191
103,09/08/2018,21644
104,09/09/2018,28354
105,09/10/2018,0
106,09/11/2018,0
107,09/12/2017,7233
108,10/01/2018,4161
109,10/02/2018,4425
110,10/03/2018,11064
111,10/04/2018,16696
112,10/05/2018,0
113,10/06/2018,29342
114,10/07/2018,20641
115,10/08/2018,23833
116,10/09/2018,30781
117,10/10/2018,24410
118,10/11/2018,18473
119,10/12/2017,3453
120,11/01/2018,4017
121,11/02/2018,2850
122,11/03/2018,11843
123,11/04/2018,0
124,11/05/2018,26649
125,11/06/2018,24832
126,11/07/2018,24135
127,11/08/2018,20009
128,11/09/2018,31694
129,11/10/2018,24526
130,11/11/2018,13138
131,11/12/2017,5848
132,12/01/2018,4111
133,12/02/2018,4813
134,12/03/2018,13339
135,12/04/2018,22729
136,12/05/2018,3034
137,12/06/2018,34544
138,12/07/2018,29428
139,12/08/2018,17498
140,12/09/2018,31809
141,12/10/2018,26237
142,12/11/2018,21003
143,12/12/2017,5496
144,13/01/2018,3503
145,13/02/2018,6267
146,13/03/2018,15963
147,13/04/2018,23240
148,13/05/2018,25913
149,13/06/2018,36149
150,13/07/2018,30088
151,13/08/2018,22827
152,13/09/2018,30991
153,13/10/2018,25542
154,13/11/2018,21992
155,13/12/2017,6019
156,14/01/2018,4225
157,14/02/2018,6771
158,14/03/2018,19180
159,14/04/2018,6980
160,14/05/2018,27793
161,14/06/2018,23818
162,14/07/2018,25814
163,14/08/2018,23836
164,14/09/2018,28199
165,14/10/2018,24349
166,14/11/2018,22707
167,14/12/2017,6398
168,15/01/2018,6334
169,15/02/2018,3484
170,15/03/2018,6227
171,15/04/2018,10207
172,15/05/2018,28478
173,15/06/2018,33492
174,15/07/2018,22790
175,15/08/2018,18565
176,15/09/2018,25079
177,15/10/2018,26198
178,15/11/2018,21502
179,15/12/2017,7198
180,16/01/2018,6705
181,16/02/2018,2593
182,16/03/2018,15277
183,16/04/2018,23198
184,16/05/2018,6416
185,16/06/2018,34360
186,16/07/2018,26823
187,16/08/2018,25329
188,16/09/2018,14178
189,16/10/2018,26956
190,16/11/2018,20660
191,16/12/2017,4632
192,17/01/2018,6292
193,17/02/2018,3118
194,17/03/2018,15389
195,17/04/2018,22234
196,17/05/2018,3521
197,17/06/2018,32487
198,17/07/2018,28435
199,17/08/2018,28820
200,17/09/2018,30290
201,17/10/2018,26502
202,17/11/2018,15689
203,17/12/2017,3776
204,18/01/2018,6383
205,18/02/2018,4562
206,18/03/2018,9609
207,18/04/2018,21670
208,18/05/2018,16087
209,18/06/2018,27541
210,18/07/2018,27896
211,18/08/2018,26398
212,18/09/2018,0
213,18/10/2018,26504
214,18/11/2018,14319
215,18/12/2017,2620
216,19/01/2018,7472
217,19/02/2018,7604
218,19/03/2018,8968
219,19/04/2018,17730
220,19/05/2018,30994
221,19/06/2018,35349
222,19/07/2018,27820
223,19/08/2018,24547
224,19/09/2018,0
225,19/10/2018,27437
226,19/11/2018,18956
227,19/12/2017,4334
228,20/01/2018,5576
229,20/02/2018,7955
230,20/03/2018,11515
231,20/04/2018,22593
232,20/05/2018,27829
233,20/06/2018,34639
234,20/07/2018,26699
235,20/08/2018,26827
236,20/09/2018,14282
237,20/10/2018,25355
238,20/11/2018,19127
239,20/12/2017,4568
240,21/01/2018,4973
241,21/02/2018,7491
242,21/03/2018,7384
243,21/04/2018,24404
244,21/05/2018,31236
245,21/06/2018,34621
246,21/07/2018,21283
247,21/08/2018,25133
248,21/09/2018,18266
249,21/10/2018,23906
250,21/11/2018,15732
251,21/12/2017,5734
252,22/01/2018,4503
253,22/02/2018,7712
254,22/03/2018,14007
255,22/04/2018,6852
256,22/05/2018,13790
257,22/06/2018,34079
258,22/07/2018,18563
259,22/08/2018,26072
260,22/09/2018,26398
261,22/10/2018,26075
262,22/11/2018,16496
263,22/12/2017,7184
264,23/01/2018,3981
265,23/02/2018,5797
266,23/03/2018,14969
267,23/04/2018,977
268,23/05/2018,27674
269,23/06/2018,31949
270,23/07/2018,24890
271,23/08/2018,15958
272,23/09/2018,20060
273,23/10/2018,21601
274,23/11/2018,16314
275,23/12/2017,6624
276,24/01/2018,3154
277,24/02/2018,6356
278,24/03/2018,12243
279,24/04/2018,20144
280,24/05/2018,28781
281,24/06/2018,27028
282,24/07/2018,24635
283,24/08/2018,11658
284,24/09/2018,17259
285,24/10/2018,26418
286,24/11/2018,6477
287,24/12/2017,2014
288,25/01/2018,3113
289,25/02/2018,6500
290,25/03/2018,10963
291,25/04/2018,26285
292,25/05/2018,29057
293,25/06/2018,32702
294,25/07/2018,25918
295,25/08/2018,27302
296,25/09/2018,23350
297,25/10/2018,27258
298,25/11/2018,11212
299,25/12/2017,3966
300,26/01/2018,2931
301,26/02/2018,9247
302,26/03/2018,13084
303,26/04/2018,25670
304,26/05/2018,28079
305,26/06/2018,5200
306,26/07/2018,24915
307,26/08/2018,19310
308,26/09/2018,28018
309,26/10/2018,13377
310,26/11/2018,17162
311,26/12/2017,5605
312,27/01/2018,2693
313,27/02/2018,8862
314,27/03/2018,14710
315,27/04/2018,25861
316,27/05/2018,28991
317,27/06/2018,29755
318,27/07/2018,23275
319,27/08/2018,14435
320,27/09/2018,30789
321,27/10/2018,18398
322,27/11/2018,16282
323,27/12/2017,5351
324,28/01/2018,2828
325,28/02/2018,3820
326,28/03/2018,17295
327,28/04/2018,24940
328,28/05/2018,31020
329,28/06/2018,21647
330,28/07/2018,16880
331,28/08/2018,9092
332,28/09/2018,0
333,28/10/2018,11589
334,28/11/2018,16524
335,28/12/2017,6594
336,29/01/2018,4088
337,29/03/2018,17450
338,29/04/2018,25349
339,29/05/2018,24355
340,29/06/2018,30297
341,29/07/2018,18190
342,29/08/2018,9184
343,29/09/2018,31447
344,29/10/2018,19877
345,29/11/2018,16423
346,29/12/2017,7663
347,30/01/2018,3360
348,30/03/2018,19301
349,30/04/2018,25462
350,30/05/2018,30372
351,30/06/2018,20479
352,30/07/2018,23695
353,30/08/2018,20959
354,30/09/2018,0
355,30/10/2018,20822
356,30/11/2018,16297
357,30/12/2017,4027
358,31/01/2018,3830
359,31/03/2018,19247
360,31/05/2018,31681
361,31/07/2018,22897
362,31/08/2018,27817
363,31/10/2018,21545
364,31/12/2017,3423
