,Year,GDP
80,1955 Q1,116532
81,1955 Q2,116637
82,1955 Q3,118997
83,1955 Q4,118351
84,1956 Q1,119735
85,1956 Q2,119475
86,1956 Q3,119357
87,1956 Q4,119891
88,1957 Q1,122290
89,1957 Q2,122303
90,1957 Q3,121553
91,1957 Q4,121774
92,1958 Q1,124411
93,1958 Q2,121520
94,1958 Q3,124197
95,1958 Q4,124341
96,1959 Q1,125143
97,1959 Q2,127218
98,1959 Q3,129949
99,1959 Q4,133277
100,1960 Q1,136599
101,1960 Q2,135553
102,1960 Q3,137604
103,1960 Q4,138426
104,1961 Q1,140702
105,1961 Q2,141275
106,1961 Q3,140555
107,1961 Q4,140311
108,1962 Q1,140941
109,1962 Q2,142246
110,1962 Q3,143137
111,1962 Q4,142573
112,1963 Q1,143171
113,1963 Q2,149459
114,1963 Q3,150182
115,1963 Q4,153587
116,1964 Q1,154560
117,1964 Q2,157401
118,1964 Q3,158019
119,1964 Q4,160431
120,1965 Q1,159955
121,1965 Q2,160049
122,1965 Q3,161365
123,1965 Q4,162354
124,1966 Q1,162611
125,1966 Q2,163584
126,1966 Q3,164093
127,1966 Q4,163406
128,1967 Q1,165604
129,1967 Q2,167950
130,1967 Q3,168685
131,1967 Q4,169526
132,1968 Q1,175742
133,1968 Q2,175014
134,1968 Q3,178468
135,1968 Q4,179160
136,1969 Q1,178747
137,1969 Q2,180122
138,1969 Q3,181119
139,1969 Q4,181982
140,1970 Q1,180827
141,1970 Q2,185094
142,1970 Q3,186934
143,1970 Q4,188565
144,1971 Q1,187635
145,1971 Q2,190988
146,1971 Q3,194393
147,1971 Q4,195143
148,1972 Q1,195374
149,1972 Q2,200521
150,1972 Q3,201060
151,1972 Q4,204205
152,1973 Q1,214333
153,1973 Q2,214628
154,1973 Q3,212585
155,1973 Q4,211665
156,1974 Q1,205849
157,1974 Q2,208808
158,1974 Q3,210128
159,1974 Q4,207038
160,1975 Q1,207156
161,1975 Q2,203755
162,1975 Q3,203060
163,1975 Q4,205390
164,1976 Q1,208792
165,1976 Q2,208498
166,1976 Q3,211146
167,1976 Q4,215617
168,1977 Q1,215667
169,1977 Q2,214117
170,1977 Q3,215574
171,1977 Q4,219248
172,1978 Q1,221203
173,1978 Q2,223770
174,1978 Q3,226852
175,1978 Q4,228903
176,1979 Q1,228088
177,1979 Q2,238126
178,1979 Q3,232811
179,1979 Q4,235228
180,1980 Q1,232982
181,1980 Q2,228337
182,1980 Q3,228108
183,1980 Q4,225615
184,1981 Q1,225484
185,1981 Q2,226006
186,1981 Q3,228469
187,1981 Q4,228748
188,1982 Q1,229165
189,1982 Q2,231570
190,1982 Q3,232134
191,1982 Q4,233752
192,1983 Q1,238082
193,1983 Q2,240053
194,1983 Q3,242654
195,1983 Q4,244720
196,1984 Q1,246424
197,1984 Q2,244265
198,1984 Q3,245827
199,1984 Q4,250650
200,1985 Q1,252649
201,1985 Q2,258038
202,1985 Q3,258279
203,1985 Q4,258907
204,1986 Q1,261820
205,1986 Q2,263767
206,1986 Q3,264966
207,1986 Q4,269702
208,1987 Q1,272205
209,1987 Q2,276199
210,1987 Q3,282910
211,1987 Q4,286114
212,1988 Q1,291209
213,1988 Q2,292929
214,1988 Q3,297391
215,1988 Q4,299952
216,1989 Q1,301273
217,1989 Q2,303257
218,1989 Q3,303558
219,1989 Q4,303849
220,1990 Q1,305893
221,1990 Q2,307471
222,1990 Q3,304257
223,1990 Q4,303210
224,1991 Q1,302325
225,1991 Q2,301943
226,1991 Q3,301285
227,1991 Q4,301811
228,1992 Q1,301831
229,1992 Q2,301474
230,1992 Q3,303395
231,1992 Q4,305506
232,1993 Q1,307712
233,1993 Q2,309236
234,1993 Q3,311683
235,1993 Q4,313765
236,1994 Q1,317468
237,1994 Q2,321166
238,1994 Q3,324811
239,1994 Q4,326734
240,1995 Q1,328056
241,1995 Q2,329292
242,1995 Q3,332436
243,1995 Q4,333055
244,1996 Q1,334982
245,1996 Q2,336145
246,1996 Q3,340034
247,1996 Q4,344637
248,1997 Q1,351195
249,1997 Q2,354286
250,1997 Q3,356780
251,1997 Q4,360993
252,1998 Q1,364276
253,1998 Q2,367660
254,1998 Q3,370263
255,1998 Q4,373826
256,1999 Q1,376026
257,1999 Q2,376682
258,1999 Q3,383148
259,1999 Q4,388806
260,2000 Q1,391937
261,2000 Q2,394312
262,2000 Q3,395469
263,2000 Q4,396403
264,2001 Q1,401021
265,2001 Q2,404118
266,2001 Q3,407236
267,2001 Q4,408833
268,2002 Q1,410434
269,2002 Q2,412445
270,2002 Q3,415187
271,2002 Q4,418465
272,2003 Q1,421580
273,2003 Q2,425428
274,2003 Q3,430274
275,2003 Q4,434277
276,2004 Q1,435802
277,2004 Q2,437406
278,2004 Q3,438191
279,2004 Q4,439291
280,2005 Q1,442793
281,2005 Q2,447996
282,2005 Q3,452721
283,2005 Q4,458925
284,2006 Q1,461059
285,2006 Q2,462305
286,2006 Q3,462734
287,2006 Q4,464891
288,2007 Q1,469274
289,2007 Q2,471920
290,2007 Q3,475530
291,2007 Q4,477958
292,2008 Q1,480523
293,2008 Q2,477834
294,2008 Q3,470368
295,2008 Q4,460676
296,2009 Q1,452896
297,2009 Q2,452036
298,2009 Q3,452595
299,2009 Q4,454145
300,2010 Q1,457058
301,2010 Q2,461765
302,2010 Q3,465134
303,2010 Q4,465290
304,2011 Q1,466970
305,2011 Q2,467370
306,2011 Q3,468942
307,2011 Q4,469556
308,2012 Q1,472809
309,2012 Q2,472114
310,2012 Q3,477869
311,2012 Q4,476834
312,2013 Q1,479357
313,2013 Q2,483211
314,2013 Q3,487728
315,2013 Q4,490859
316,2014 Q1,494629
317,2014 Q2,497849
318,2014 Q3,500658
319,2014 Q4,503589
320,2015 Q1,506314
321,2015 Q2,510095
322,2015 Q3,512070
323,2015 Q4,515430
324,2016 Q1,516456
325,2016 Q2,518794
326,2016 Q3,520379
327,2016 Q4,523484
328,2017 Q1,526081
329,2017 Q2,527622
330,2017 Q3,529856
331,2017 Q4,531737
332,2018 Q1,532104
333,2018 Q2,534140
334,2018 Q3,537326
335,2018 Q4,538222
336,2019 Q1,541195
337,2019 Q2,541944
338,2019 Q3,544639
339,2019 Q4,544733
340,2020 Q1,529223
341,2020 Q2,426197
342,2020 Q3,498429
343,2020 Q4,504742
